 Thu, 15 Apr 2021 17:12:52  INFO basepage.py wait_eleVisible [ line:48 ] 等待元素 ('id', 'account') 可见成功，等待时间 0:00:00.021328
 Thu, 15 Apr 2021 17:12:52  INFO basepage.py get_element [ line:115 ] 查找 输入用户名 元素 ('id', 'account') 成功！！！
 Thu, 15 Apr 2021 17:12:52  INFO basepage.py input_text [ line:157 ] 输入用户名 元素 ('id', 'account') 输入文本003398 成功
 Thu, 15 Apr 2021 17:12:52  INFO basepage.py wait_eleVisible [ line:48 ] 等待元素 ('id', 'password') 可见成功，等待时间 0:00:00.020336
 Thu, 15 Apr 2021 17:12:52  INFO basepage.py get_element [ line:115 ] 查找 输入密码 元素 ('id', 'password') 成功！！！
 Thu, 15 Apr 2021 17:12:52  INFO basepage.py input_text [ line:157 ] 输入密码 元素 ('id', 'password') 输入文本!@#ASDttt 成功
 Thu, 15 Apr 2021 17:12:52  INFO basepage.py wait_eleVisible [ line:48 ] 等待元素 ('id', 'verifyCode') 可见成功，等待时间 0:00:00.013889
 Thu, 15 Apr 2021 17:12:52  INFO basepage.py get_element [ line:115 ] 查找 输入验证码 元素 ('id', 'verifyCode') 成功！！！
 Thu, 15 Apr 2021 17:12:52  INFO basepage.py input_text [ line:157 ] 输入验证码 元素 ('id', 'verifyCode') 输入文本003398 成功
 Thu, 15 Apr 2021 17:12:52  INFO basepage.py wait_eleVisible [ line:48 ] 等待元素 ('id', 'login') 可见成功，等待时间 0:00:00.013858
 Thu, 15 Apr 2021 17:12:52  INFO basepage.py get_element [ line:115 ] 查找 点击登录按钮 元素 ('id', 'login') 成功！！！
 Thu, 15 Apr 2021 17:12:52  INFO basepage.py click_element [ line:140 ] 点击  点击登录按钮 元素 ('id', 'login') 成功！
